,bes,browning,dentistry,fm,honors,meb,smt,ustar
bes,x,-106,-120,-112,-109.53,-99.56,-119.74,x
browning,-101.3,x,-120,-100,-111.47,-88.78,-107.33,-94
dentistry,-105.68,-115,x,-115,-112,-121.37,x,-110
fm,x,-112,-120,x,-115,-121.36,-118.25,-112.73
honors,-120.62,-117,-112,-108.54,x,-120.62,-103.52,-107.32
